Country,continent,Iso code,Admin-1 unit,rural_pfpr_2024,urban_pfpr_2024,weighted_prev,pv_present,population_rural,population_urban,population_total
Liberia,Africa,LBR,Margibi,0.40989839,0.357136449,0.369555682,no,90316,293383,383699
Liberia,Africa,LBR,Grand_Bassa,0.435689586,0.322066647,0.402984174,no,213149,86151,299300
Liberia,Africa,LBR,Grand_Gedeh,0.544649717,0.351641924,0.535199626,no,187499,9653,197152
Liberia,Africa,LBR,Rivercess,0.471389964,0.420267769,0.466416986,no,98535,10618,109153
Liberia,Africa,LBR,Sinoe,0.522699743,0.264608715,0.47855177,no,119644,24689,144333
Liberia,Africa,LBR,River_Gee,0.558384572,0.509385893,0.555943639,no,110952,5817,116769
Liberia,Africa,LBR,Grand_Kru,0.515012948,0.440915346,0.51155014,no,69680,3416,73096
Liberia,Africa,LBR,Maryland,0.530328727,0.445661067,0.482673812,no,93932,120940,214872
Madagascar,Africa,MDG,Antsiranana,0.092154143,0.096094775,0.093483889,yes,1531460,779985,2311445
Madagascar,Africa,MDG,Mahajanga,0.083843313,0.067596617,0.080246277,yes,3158062,898021,4056083
Madagascar,Africa,MDG,Toamasina,0.102993859,0.114313662,0.10629255,yes,2827096,1162646,3989742
Madagascar,Africa,MDG,Antananarivo,0.064584712,0.05698381,0.059092937,yes,2516122,6551512,9067634
Madagascar,Africa,MDG,Toliary,0.101119587,0.070006461,0.094547119,yes,3910398,1047281,4957679
Madagascar,Africa,MDG,Fianarantsoa,0.125062257,0.102319214,0.117065861,yes,4088486,2216989,6305475
Mali,Africa,MLI,Timbuktu,0.13241887,0.125619247,0.130708441,no,816358,274370,1090728
Mali,Africa,MLI,Kidal,0.107394501,0.105925918,0.107338434,no,124053,4924,128977
Mali,Africa,MLI,Gao,0.143806531,0.125849357,0.139043988,no,665466,240197,905663
Mali,Africa,MLI,Mopti,0.194077679,0.192223292,0.193635744,no,2169662,678853,2848515
Mali,Africa,MLI,Kayes,0.145806716,0.114323369,0.137406701,no,2170596,789879,2960475
Mali,Africa,MLI,Segou,0.221320664,0.192978266,0.208479144,no,1865970,1545841,3411811
Mali,Africa,MLI,Koulikoro,0.189450926,0.136860444,0.158230352,no,2177312,3180965,5358277
Mali,Africa,MLI,Sikasso,0.239305555,0.199931123,0.224532992,no,2558870,1536512,4095382
Mali,Africa,MLI,Bamako,0,0.097482986,0.097482986,no,0,2848782,2848782
Mozambique,Africa,MOZ,Cabo_Delgado,0.314631072,0.273825089,0.302114367,no,1694836,749887,2444723
Mozambique,Africa,MOZ,Nassa,0.274333306,0.243357507,0.263860757,no,1595579,814982,2410561
Mozambique,Africa,MOZ,Nampula,0.308437134,0.257161412,0.28672553,no,3879389,2848986,6728375
Mozambique,Africa,MOZ,Tete,0.253538811,0.21912812,0.244473922,no,2864368,1024437,3888805
Mozambique,Africa,MOZ,Zambezia,0.340357962,0.289009946,0.327497186,no,4774449,1595415,6369864
Mozambique,Africa,MOZ,Manica,0.223393951,0.189001084,0.211572813,no,1716789,899107,2615896
Mozambique,Africa,MOZ,Sofala,0.314216642,0.278353734,0.300956544,no,1632441,957683,2590124
Mozambique,Africa,MOZ,Inhambane,0.284054961,0.245604361,0.275120088,no,1268821,384092,1652913
Mozambique,Africa,MOZ,Gaza,0.313608148,0.325589106,0.318955447,no,950493,766179,1716672
Mozambique,Africa,MOZ,Maputo,0.249548473,0.243921903,0.24599702,no,443752,759458,1203210
Mozambique,Africa,MOZ,Maputo_City,0.283833084,0.255765678,0.256027079,no,25634,2726770,2752404
Malawi,Africa,MWI,Chitipa,0.122321479,0.12034332,0.122095665,no,271348,34967,306315
Malawi,Africa,MWI,Karonga,0.117616985,0.112510636,0.116863624,no,387057,66987,454044
Malawi,Africa,MWI,Rumphi,0.111435526,0.10418468,0.11074574,no,246934,25961,272895
Malawi,Africa,MWI,Nkhata_Bay,0.174149289,0,0.174149289,no,347987,0,347987
Malawi,Africa,MWI,Mzimba,0.155681625,0.135028311,0.152081109,no,1186392,250494,1436886
Malawi,Africa,MWI,Likoma,0.146115661,0,0.146115661,no,7513,0,7513
Malawi,Africa,MWI,Nkhotakota,0.142362832,0.142733112,0.142380188,no,450211,22141,472352
Malawi,Africa,MWI,Kasungu,0.18842231,0.175232707,0.187547766,no,918845,65251,984096
Malawi,Africa,MWI,Ntchisi,0.187575473,0,0.187575473,no,347648,0,347648
Malawi,Africa,MWI,Dowa,0.191427114,0.191012695,0.191414336,no,890574,28334,918908
Malawi,Africa,MWI,Mchinji,0.20394297,0.202940285,0.203904997,no,731360,28788,760148
Malawi,Africa,MWI,Salima,0.200227898,0.203702636,0.200607255,no,493874,60527,554401
Malawi,Africa,MWI,Dedza,0.170908183,0,0.170908183,no,955008,0,955008
Malawi,Africa,MWI,Mangochi,0.204001627,0.171430218,0.202360072,no,1196925,63525,1260450
Malawi,Africa,MWI,Lilongwe,0.179285474,0.156349612,0.168853469,no,2007236,1674643,3681879
Malawi,Africa,MWI,Ntcheu,0.203657517,0.215486661,0.204041146,no,694079,23264,717343
Malawi,Africa,MWI,Machinga,0.208951054,0.203052182,0.208730191,no,788551,30673,819224
Malawi,Africa,MWI,Balaka,0.213250098,0.211105176,0.213002447,no,437432,57098,494530
Malawi,Africa,MWI,Zomba,0.200127389,0.179805411,0.197287725,no,815431,132451,947882
Malawi,Africa,MWI,Neno,0.223024552,0,0.223024552,no,187174,0,187174
Malawi,Africa,MWI,Blantyre,0.223354998,0.190797652,0.20012189,no,439037,1093944,1532981
Malawi,Africa,MWI,Mwanza,0.218669534,0.221047282,0.219104126,no,140110,31336,171446
Malawi,Africa,MWI,Phalombe,0.174709348,0.155131042,0.173743352,no,439954,22834,462788
Malawi,Africa,MWI,Chiradzulu,0.195956194,0.199336901,0.196321127,no,394074,47686,441760
Malawi,Africa,MWI,Mulanje,0.182009234,0.170235585,0.181339005,no,696062,42016,738078
Malawi,Africa,MWI,Chikwawa,0.243826861,0.225736365,0.243182149,no,638314,23589,661903
Malawi,Africa,MWI,Thyolo,0.2343755,0.22065056,0.232404632,no,791965,132793,924758
Malawi,Africa,MWI,Nsanje,0.269636405,0.230071172,0.269636405,no,336729,0,336729
Niger,Africa,NER,Agadez,0.090712196,0.08071252,0.090573942,no,762211,10686,772897
Niger,Africa,NER,Tahoua,0.159175833,0.158338036,0.159110669,no,5320564,448737,5769301
Niger,Africa,NER,Diffa,0.136602813,0.123182863,0.136383348,no,999546,16618,1016164
