"","v024","v025","country","dataset"
"534","central region","rural","MW","MWKR7AFL"
"535","southern region","rural","MW","MWKR7AFL"
"536","northern region","rural","MW","MWKR7AFL"
"537","northern region","urban","MW","MWKR7AFL"
"538","southern region","urban","MW","MWKR7AFL"
"539","niassa","urban","MZ","MZKR81FL"
"540","niassa","rural","MZ","MZKR81FL"
"541","cabo delgado","urban","MZ","MZKR81FL"
"542","cabo delgado","rural","MZ","MZKR81FL"
"543","nampula","urban","MZ","MZKR81FL"
"544","nampula","rural","MZ","MZKR81FL"
"545","zambézia","urban","MZ","MZKR81FL"
"546","zambézia","rural","MZ","MZKR81FL"
"547","tete","urban","MZ","MZKR81FL"
"548","tete","rural","MZ","MZKR81FL"
"549","manica","urban","MZ","MZKR81FL"
"550","manica","rural","MZ","MZKR81FL"
"551","sofala","urban","MZ","MZKR81FL"
"552","sofala","rural","MZ","MZKR81FL"
"553","inhambane","urban","MZ","MZKR81FL"
"554","inhambane","rural","MZ","MZKR81FL"
"555","gaza","urban","MZ","MZKR81FL"
"556","gaza","rural","MZ","MZKR81FL"
"557","maputo","urban","MZ","MZKR81FL"
"558","maputo","rural","MZ","MZKR81FL"
"559","cidade de maputo","urban","MZ","MZKR81FL"
"560","north central","urban","NG","NGKR7BFL"
"561","north central","rural","NG","NGKR7BFL"
"562","north east","urban","NG","NGKR7BFL"
"563","north east","rural","NG","NGKR7BFL"
"564","north west","urban","NG","NGKR7BFL"
"565","north west","rural","NG","NGKR7BFL"
"566","south east","urban","NG","NGKR7BFL"
"567","south east","rural","NG","NGKR7BFL"
"568","south south","urban","NG","NGKR7BFL"
"569","south south","rural","NG","NGKR7BFL"
"570","south west","urban","NG","NGKR7BFL"
"571","south west","rural","NG","NGKR7BFL"
"572","Zinder","Rural","NI","NIKR61FL"
"573","Maradi","Rural","NI","NIKR61FL"
"574","Diffa","Rural","NI","NIKR61FL"
"575","Tahoua","Rural","NI","NIKR61FL"
"576","Tahoua","Urban","NI","NIKR61FL"
"577","Dosso","Rural","NI","NIKR61FL"
"578","Tillaberi","Rural","NI","NIKR61FL"
"579","Niamey","Urban","NI","NIKR61FL"
"580","Agadez","Urban","NI","NIKR61FL"
"581","Maradi","Urban","NI","NIKR61FL"
"582","Zinder","Urban","NI","NIKR61FL"
"583","Agadez","Rural","NI","NIKR61FL"
"584","Dosso","Urban","NI","NIKR61FL"
"585","Diffa","Urban","NI","NIKR61FL"
"586","Tillaberi","Urban","NI","NIKR61FL"
"587","caprivi","rural","NM","NMKR61FL"
"588","khomas","urban","NM","NMKR61FL"
"589","omusati","rural","NM","NMKR61FL"
"590","oshana","rural","NM","NMKR61FL"
"591","omusati","urban","NM","NMKR61FL"
"592","omaheke","rural","NM","NMKR61FL"
"593","hardap","rural","NM","NMKR61FL"
"594","otjozondjupa","rural","NM","NMKR61FL"
"595","karas","urban","NM","NMKR61FL"
