"","Country","Region (admin-1)","PMC delivery strategy (vs. comparator)","Cost-effectiveness threshold (lower)","Cost-effectiveness threshold (upper)","Additional clinical malaria cases averted","Additional hospitalisations averted","Additional deaths averted","Additional DALYs averted","Difference in treatment costs","Difference in implementation costs","Difference in implementation costs (incl. national costs)","Difference in total costs","Difference in total costs (incl. national costs)","ICER based on regional costs only (no national costs)","Cost-effective? (lower country-specific threshold)","Cost-effective? (higher country-specific threshold)","Cost-effective? ($250 / DALY averted threshold)","ICER including national costs for every individual region (i.e. double-counting, just done for calculation purposes)","ICER (incl. national costs) below CET lower bound (Y/N)","ICER (incl. national costs) below CET upper bound (Y/N)","ICER (incl. national costs) below $250 / DALY averted threshold (Y/N)","Current scenario chosen"
"285","GAB","Ngounie","PMC co-delivery with EPI only vs No PMC",1397,3452,124.57552971363,8.91996019306602,1.9177914415092,9.45749816258208,-3142.25653309767,221088.684250177,355374.684250177,217946.427717079,352232.427717079,23044.8289780661,"no","no","no",37243.721506673,"no","no","no",NA
"286","GAB","Ngounie","No PMC vs PMC co-delivery with EPI only",1397,3452,-124.57552971363,-8.91996019306602,-1.9177914415092,-9.45749816258208,3142.25653309767,-221088.684250177,-355374.684250177,-217946.427717079,-352232.427717079,23044.8289780661,"no","no","no",37243.721506673,"no","no","no",NA
"287","GAB","Nyanga","PMC co-delivery with EPI only vs No PMC",1397,3452,32.598244532712,2.54544264562499,0.547270168809373,2.54832451184582,-853.690034097241,140558.772099344,274844.772099344,139705.082065247,273991.082065247,54822.3279318751,"no","no","no",107518.128398329,"no","no","no",NA
"288","GAB","Nyanga","No PMC vs PMC co-delivery with EPI only",1397,3452,-32.598244532712,-2.54544264562499,-0.547270168809373,-2.54832451184582,853.690034097241,-140558.772099344,-274844.772099344,-139705.082065247,-273991.082065247,54822.3279318751,"no","no","no",107518.128398329,"no","no","no",NA
"289","GAB","Ogooue_Ivindo","PMC co-delivery with EPI only vs No PMC",1397,3452,56.9014475343799,3.4765040263852,0.74744836567282,4.1117972254355,-1346.31930050733,139455.248907764,273741.248907764,138108.929607257,272394.929607257,33588.4582909191,"no","no","no",66247.1699533789,"no","no","no",NA
"290","GAB","Ogooue_Ivindo","No PMC vs PMC co-delivery with EPI only",1397,3452,-56.9014475343799,-3.4765040263852,-0.74744836567282,-4.1117972254355,1346.31930050733,-139455.248907764,-273741.248907764,-138108.929607257,-272394.929607257,33588.4582909191,"no","no","no",66247.1699533789,"no","no","no",NA
"291","GAB","Ogooue_Lolo","PMC co-delivery with EPI only vs No PMC",1397,3452,93.3188346102302,7.31012044135591,1.57167589489152,7.30318247871359,-2447.32019960791,113256.040841605,247542.040841605,110808.720641997,245094.720641997,15172.6621873367,"no","no","no",33559.9885880394,"no","no","no",NA
"292","GAB","Ogooue_Lolo","No PMC vs PMC co-delivery with EPI only",1397,3452,-93.3188346102302,-7.31012044135591,-1.57167589489152,-7.30318247871359,2447.32019960791,-113256.040841605,-247542.040841605,-110808.720641997,-245094.720641997,15172.6621873367,"no","no","no",33559.9885880394,"no","no","no",NA
"293","GAB","Ogooue_Maritime","PMC co-delivery with EPI only vs No PMC",1397,3452,89.5281482143198,8.0122787312078,1.72263992720968,7.35420855739059,-2496.56325839244,104789.682102485,239075.682102485,102293.118844092,236579.118844092,13909.4666741934,"no","no","no",32169.2153544303,"no","no","no",NA
"294","GAB","Ogooue_Maritime","No PMC vs PMC co-delivery with EPI only",1397,3452,-89.5281482143198,-8.0122787312078,-1.72263992720968,-7.35420855739059,2496.56325839244,-104789.682102485,-239075.682102485,-102293.118844092,-236579.118844092,13909.4666741934,"no","no","no",32169.2153544303,"no","no","no",NA
"295","GAB","Wouleu_Ntem","PMC co-delivery with EPI only vs No PMC",1397,3452,340.53944566929,23.500010918755,5.05250234753233,25.5455155288605,-8458.200497991,172557.989041193,306843.989041193,164099.788543202,298385.788543202,6423.81980343312,"no","no","no",11680.5545852498,"no","no","no",NA
"296","GAB","Wouleu_Ntem","No PMC vs PMC co-delivery with EPI only",1397,3452,-340.53944566929,-23.500010918755,-5.05250234753233,-25.5455155288605,8458.200497991,-172557.989041193,-306843.989041193,-164099.788543202,-298385.788543202,6423.81980343312,"no","no","no",11680.5545852498,"no","no","no",NA
"297","GHA","Ahafo","PMC co-delivery with EPI only vs No PMC",289,866,3269.0409787949,151.449575224732,32.5616586733173,219.425542096747,-47246.2667047057,308279.236947865,491301.236947865,261032.970243159,444054.970243159,1189.6198033685,"no","no","no",2023.71595394018,"no","no","no",NA
