"Iso code","Admin-1 unit","Rurality","Age group","age_in_days_midpoint","infection_class","units","value"
"SLE","Eastern","rural/urban merged","n_age_266_272",269,"severe","ppy",0.118507356935706
"SLE","Eastern","rural/urban merged","n_age_273_279",276,"severe","ppy",0.111175961077137
"SLE","Eastern","rural/urban merged","n_age_280_286",283,"severe","ppy",0.13266476695692
"SLE","Eastern","rural/urban merged","n_age_287_293",290,"severe","ppy",0.12657716340068
"SLE","Eastern","rural/urban merged","n_age_294_300",297,"severe","ppy",0.111662848869079
"SLE","Eastern","rural/urban merged","n_age_301_307",304,"severe","ppy",0.107535441881699
"SLE","Eastern","rural/urban merged","n_age_308_314",311,"severe","ppy",0.0909156695467458
"SLE","Eastern","rural/urban merged","n_age_315_321",318,"severe","ppy",0.104298796183291
"SLE","Eastern","rural/urban merged","n_age_322_328",325,"severe","ppy",0.116983266432542
"SLE","Eastern","rural/urban merged","n_age_329_335",332,"severe","ppy",0.128167387863758
"SLE","Eastern","rural/urban merged","n_age_336_342",339,"severe","ppy",0.0938034805218394
"SLE","Eastern","rural/urban merged","n_age_343_349",346,"severe","ppy",0.0798953323247001
"SLE","Eastern","rural/urban merged","n_age_350_356",353,"severe","ppy",0.104271659805407
"SLE","Eastern","rural/urban merged","n_age_357_363",360,"severe","ppy",0.108561244517111
"SLE","Eastern","rural/urban merged","n_age_364_370",367,"severe","ppy",0.114200311572755
"SLE","Eastern","rural/urban merged","n_age_371_377",374,"severe","ppy",0.102615490549572
"SLE","Eastern","rural/urban merged","n_age_378_384",381,"severe","ppy",0.0771512976374497
"SLE","Eastern","rural/urban merged","n_age_385_391",388,"severe","ppy",0.0846503517218164
"SLE","Eastern","rural/urban merged","n_age_392_398",395,"severe","ppy",0.0795514156190515
"SLE","Eastern","rural/urban merged","n_age_399_405",402,"severe","ppy",0.0764122256017998
"SLE","Eastern","rural/urban merged","n_age_406_412",409,"severe","ppy",0.0978399997098975
"SLE","Eastern","rural/urban merged","n_age_413_419",416,"severe","ppy",0.100865004602482
"SLE","Eastern","rural/urban merged","n_age_420_426",423,"severe","ppy",0.0927704780208754
"SLE","Eastern","rural/urban merged","n_age_427_433",430,"severe","ppy",0.0907519931690612
"SLE","Eastern","rural/urban merged","n_age_434_440",437,"severe","ppy",0.0825395111854271
"SLE","Eastern","rural/urban merged","n_age_441_447",444,"severe","ppy",0.101833424433299
"SLE","Eastern","rural/urban merged","n_age_448_454",451,"severe","ppy",0.0672893852096813
"SLE","Eastern","rural/urban merged","n_age_455_461",458,"severe","ppy",0.0961937654708704
"SLE","Eastern","rural/urban merged","n_age_462_468",465,"severe","ppy",0.0940150820151135
"SLE","Eastern","rural/urban merged","n_age_469_475",472,"severe","ppy",0.0593435928855239
"SLE","Eastern","rural/urban merged","n_age_476_482",479,"severe","ppy",0.0861410585919117
"SLE","Eastern","rural/urban merged","n_age_483_489",486,"severe","ppy",0.100741754945332
"SLE","Eastern","rural/urban merged","n_age_490_496",493,"severe","ppy",0.074044123430128
"SLE","Eastern","rural/urban merged","n_age_497_503",500,"severe","ppy",0.0909807767192353
"SLE","Eastern","rural/urban merged","n_age_504_510",507,"severe","ppy",0.0830775302014381
"SLE","Eastern","rural/urban merged","n_age_511_517",514,"severe","ppy",0.0976000051008741
"SLE","Eastern","rural/urban merged","n_age_518_524",521,"severe","ppy",0.0644765389900721
"SLE","Eastern","rural/urban merged","n_age_525_531",528,"severe","ppy",0.110999149145873
"SLE","Eastern","rural/urban merged","n_age_532_538",535,"severe","ppy",0.0738869962308378
"SLE","Eastern","rural/urban merged","n_age_539_545",542,"severe","ppy",0.0733397916917014
"SLE","Eastern","rural/urban merged","n_age_546_552",549,"severe","ppy",0.08579820987036
"SLE","Eastern","rural/urban merged","n_age_553_559",556,"severe","ppy",0.0675914150090685
