"Country","Rurality","Iso code","Admin-1 unit","Age group","age_in_days_midpoint","infection_class","units","value","Scenario","doses"
"Sierra Leone","rural/urban merged","SLE","Eastern","n_age_812_818",815,"clinical","ppy",2.61369698944728,"PMC co-delivery with EPI only",6
"Sierra Leone","rural/urban merged","SLE","Eastern","n_age_819_825",822,"clinical","ppy",2.60564511912594,"PMC co-delivery with EPI only",6
"Sierra Leone","rural/urban merged","SLE","Eastern","n_age_826_832",829,"clinical","ppy",2.56594475996882,"PMC co-delivery with EPI only",6
"Sierra Leone","rural/urban merged","SLE","Eastern","n_age_833_839",836,"clinical","ppy",2.44290206449511,"PMC co-delivery with EPI only",6
"Sierra Leone","rural/urban merged","SLE","Eastern","n_age_840_846",843,"clinical","ppy",2.41092214912243,"PMC co-delivery with EPI only",6
"Sierra Leone","rural/urban merged","SLE","Eastern","n_age_847_853",850,"clinical","ppy",2.54232369451061,"PMC co-delivery with EPI only",6
"Sierra Leone","rural/urban merged","SLE","Eastern","n_age_854_860",857,"clinical","ppy",2.6536705202567,"PMC co-delivery with EPI only",6
"Sierra Leone","rural/urban merged","SLE","Eastern","n_age_861_867",864,"clinical","ppy",2.53491330763355,"PMC co-delivery with EPI only",6
"Sierra Leone","rural/urban merged","SLE","Eastern","n_age_868_874",871,"clinical","ppy",2.5877490488782,"PMC co-delivery with EPI only",6
"Sierra Leone","rural/urban merged","SLE","Eastern","n_age_875_881",878,"clinical","ppy",2.56539653590967,"PMC co-delivery with EPI only",6
"Sierra Leone","rural/urban merged","SLE","Eastern","n_age_882_888",885,"clinical","ppy",2.47852456239261,"PMC co-delivery with EPI only",6
"Sierra Leone","rural/urban merged","SLE","Eastern","n_age_889_895",892,"clinical","ppy",2.48900285919788,"PMC co-delivery with EPI only",6
"Sierra Leone","rural/urban merged","SLE","Eastern","n_age_896_902",899,"clinical","ppy",2.44019562567041,"PMC co-delivery with EPI only",6
"Sierra Leone","rural/urban merged","SLE","Eastern","n_age_903_909",906,"clinical","ppy",2.5579095259568,"PMC co-delivery with EPI only",6
"Sierra Leone","rural/urban merged","SLE","Eastern","n_age_910_916",913,"clinical","ppy",2.51214850163718,"PMC co-delivery with EPI only",6
"Sierra Leone","rural/urban merged","SLE","Eastern","n_age_0_6",3,"severe","ppy",0.0078061169515303,"PMC co-delivery with EPI only",6
"Sierra Leone","rural/urban merged","SLE","Eastern","n_age_7_13",10,"severe","ppy",0.00857510014173407,"PMC co-delivery with EPI only",6
"Sierra Leone","rural/urban merged","SLE","Eastern","n_age_14_20",17,"severe","ppy",0.0100754422977729,"PMC co-delivery with EPI only",6
"Sierra Leone","rural/urban merged","SLE","Eastern","n_age_21_27",24,"severe","ppy",0.015625641917325,"PMC co-delivery with EPI only",6
"Sierra Leone","rural/urban merged","SLE","Eastern","n_age_28_34",31,"severe","ppy",0.0119601739554675,"PMC co-delivery with EPI only",6
"Sierra Leone","rural/urban merged","SLE","Eastern","n_age_35_41",38,"severe","ppy",0.011356700107975,"PMC co-delivery with EPI only",6
"Sierra Leone","rural/urban merged","SLE","Eastern","n_age_42_48",45,"severe","ppy",0.00396612797301299,"PMC co-delivery with EPI only",6
"Sierra Leone","rural/urban merged","SLE","Eastern","n_age_49_55",52,"severe","ppy",0.00459361270222013,"PMC co-delivery with EPI only",6
"Sierra Leone","rural/urban merged","SLE","Eastern","n_age_56_62",59,"severe","ppy",0.00619012002309759,"PMC co-delivery with EPI only",6
"Sierra Leone","rural/urban merged","SLE","Eastern","n_age_63_69",66,"severe","ppy",0.00619683615209935,"PMC co-delivery with EPI only",6
"Sierra Leone","rural/urban merged","SLE","Eastern","n_age_70_76",73,"severe","ppy",0.00201266365904738,"PMC co-delivery with EPI only",6
"Sierra Leone","rural/urban merged","SLE","Eastern","n_age_77_83",80,"severe","ppy",0.00263182259088054,"PMC co-delivery with EPI only",6
"Sierra Leone","rural/urban merged","SLE","Eastern","n_age_84_90",87,"severe","ppy",0.00447639303510178,"PMC co-delivery with EPI only",6
"Sierra Leone","rural/urban merged","SLE","Eastern","n_age_91_97",94,"severe","ppy",0.0034284108893736,"PMC co-delivery with EPI only",6
"Sierra Leone","rural/urban merged","SLE","Eastern","n_age_98_104",101,"severe","ppy",0.00273109906962568,"PMC co-delivery with EPI only",6
"Sierra Leone","rural/urban merged","SLE","Eastern","n_age_105_111",108,"severe","ppy",0.00832295006243243,"PMC co-delivery with EPI only",6
"Sierra Leone","rural/urban merged","SLE","Eastern","n_age_112_118",115,"severe","ppy",0.0138784313475759,"PMC co-delivery with EPI only",6
"Sierra Leone","rural/urban merged","SLE","Eastern","n_age_119_125",122,"severe","ppy",0.0133245696027769,"PMC co-delivery with EPI only",6
"Sierra Leone","rural/urban merged","SLE","Eastern","n_age_126_132",129,"severe","ppy",0.0298706941321716,"PMC co-delivery with EPI only",6
"Sierra Leone","rural/urban merged","SLE","Eastern","n_age_133_139",136,"severe","ppy",0.0357051987683369,"PMC co-delivery with EPI only",6
"Sierra Leone","rural/urban merged","SLE","Eastern","n_age_140_146",143,"severe","ppy",0.055848533413472,"PMC co-delivery with EPI only",6
"Sierra Leone","rural/urban merged","SLE","Eastern","n_age_147_153",150,"severe","ppy",0.0576744123768867,"PMC co-delivery with EPI only",6
"Sierra Leone","rural/urban merged","SLE","Eastern","n_age_154_160",157,"severe","ppy",0.0638704542635015,"PMC co-delivery with EPI only",6
"Sierra Leone","rural/urban merged","SLE","Eastern","n_age_161_167",164,"severe","ppy",0.0755749169035591,"PMC co-delivery with EPI only",6
"Sierra Leone","rural/urban merged","SLE","Eastern","n_age_168_174",171,"severe","ppy",0.126069416734351,"PMC co-delivery with EPI only",6
"Sierra Leone","rural/urban merged","SLE","Eastern","n_age_175_181",178,"severe","ppy",0.0874177146699258,"PMC co-delivery with EPI only",6
"Sierra Leone","rural/urban merged","SLE","Eastern","n_age_182_188",185,"severe","ppy",0.0238247175530052,"PMC co-delivery with EPI only",6
"Sierra Leone","rural/urban merged","SLE","Eastern","n_age_189_195",192,"severe","ppy",0.0274935563370852,"PMC co-delivery with EPI only",6
"Sierra Leone","rural/urban merged","SLE","Eastern","n_age_196_202",199,"severe","ppy",0.0343489648459842,"PMC co-delivery with EPI only",6
"Sierra Leone","rural/urban merged","SLE","Eastern","n_age_203_209",206,"severe","ppy",0.0427212303490892,"PMC co-delivery with EPI only",6
"Sierra Leone","rural/urban merged","SLE","Eastern","n_age_210_216",213,"severe","ppy",0.0701057327792958,"PMC co-delivery with EPI only",6
"Sierra Leone","rural/urban merged","SLE","Eastern","n_age_217_223",220,"severe","ppy",0.0811540203394638,"PMC co-delivery with EPI only",6
"Sierra Leone","rural/urban merged","SLE","Eastern","n_age_224_230",227,"severe","ppy",0.0771593576610877,"PMC co-delivery with EPI only",6
"Sierra Leone","rural/urban merged","SLE","Eastern","n_age_231_237",234,"severe","ppy",0.0958039597654044,"PMC co-delivery with EPI only",6
