Country,Iso code,v024,v025,dataset
NA,MD,haute matsiatra,urban,MDKR81FL
NA,MD,haute matsiatra,rural,MDKR81FL
NA,MD,amoron i mania,urban,MDKR81FL
NA,MD,amoron i mania,rural,MDKR81FL
NA,MD,vatovavy fitovinany,urban,MDKR81FL
NA,MD,vatovavy fitovinany,rural,MDKR81FL
NA,MD,ihorombe,urban,MDKR81FL
NA,MD,ihorombe,rural,MDKR81FL
NA,MD,atsimo atsinanana,urban,MDKR81FL
NA,MD,atsimo atsinanana,rural,MDKR81FL
NA,MD,atsinanana,urban,MDKR81FL
NA,MD,atsinanana,rural,MDKR81FL
NA,MD,analanjirofo,urban,MDKR81FL
NA,MD,analanjirofo,rural,MDKR81FL
NA,MD,alaotra mangoro,urban,MDKR81FL
NA,MD,alaotra mangoro,rural,MDKR81FL
NA,MD,boeny,urban,MDKR81FL
NA,MD,boeny,rural,MDKR81FL
NA,MD,sofia,rural,MDKR81FL
NA,MD,sofia,urban,MDKR81FL
NA,MD,betsiboka,urban,MDKR81FL
NA,MD,betsiboka,rural,MDKR81FL
NA,MD,melaky,urban,MDKR81FL
NA,MD,melaky,rural,MDKR81FL
NA,MD,atsimo andrefana,urban,MDKR81FL
NA,MD,atsimo andrefana,rural,MDKR81FL
NA,MD,androy,urban,MDKR81FL
NA,MD,androy,rural,MDKR81FL
NA,MD,anosy,urban,MDKR81FL
NA,MD,anosy,rural,MDKR81FL
NA,MD,menabe,urban,MDKR81FL
NA,MD,menabe,rural,MDKR81FL
NA,MD,diana,urban,MDKR81FL
NA,MD,diana,rural,MDKR81FL
NA,MD,sava,urban,MDKR81FL
NA,MD,sava,rural,MDKR81FL
NA,ML,kayes,rural,MLKR7AFL
NA,ML,kayes,urban,MLKR7AFL
NA,ML,koulikoro,rural,MLKR7AFL
NA,ML,koulikoro,urban,MLKR7AFL
NA,ML,sikasso,rural,MLKR7AFL
NA,ML,sikasso,urban,MLKR7AFL
NA,ML,segou,rural,MLKR7AFL
NA,ML,segou,urban,MLKR7AFL
NA,ML,mopti,rural,MLKR7AFL
NA,ML,mopti,urban,MLKR7AFL
NA,ML,toumbouctou,rural,MLKR7AFL
NA,ML,toumbouctou,urban,MLKR7AFL
NA,ML,gao,rural,MLKR7AFL
NA,ML,gao,urban,MLKR7AFL
NA,ML,kidal,urban,MLKR7AFL
NA,ML,bamako,urban,MLKR7AFL
NA,MR,hodh echargui,urban,MRKR71FL
NA,MR,hodh echargui,rural,MRKR71FL
NA,MR,hodh gharbi,urban,MRKR71FL
NA,MR,hodh gharbi,rural,MRKR71FL
NA,MR,assaba,urban,MRKR71FL
NA,MR,assaba,rural,MRKR71FL
NA,MR,gorgol,urban,MRKR71FL
NA,MR,gorgol,rural,MRKR71FL
NA,MR,brakna,urban,MRKR71FL
NA,MR,brakna,rural,MRKR71FL
NA,MR,trarza,urban,MRKR71FL
NA,MR,trarza,rural,MRKR71FL
NA,MR,adrar,urban,MRKR71FL
NA,MR,adrar,rural,MRKR71FL
NA,MR,dakhlet nouadhibou,rural,MRKR71FL
NA,MR,dakhlet nouadhibou,urban,MRKR71FL
NA,MR,tiris zemour et inchiri,rural,MRKR71FL
NA,MR,tagant,urban,MRKR71FL
NA,MR,tagant,rural,MRKR71FL
NA,MR,guidimagha,urban,MRKR71FL
NA,MR,guidimagha,rural,MRKR71FL
NA,MR,tiris zemour et inchiri,urban,MRKR71FL
NA,MR,nouakchott nord,urban,MRKR71FL
NA,MR,nouakchott ouest,urban,MRKR71FL
NA,MR,nouakchott sud,urban,MRKR71FL
NA,MW,central region,urban,MWKR7AFL
NA,MW,central region,rural,MWKR7AFL
NA,MW,southern region,rural,MWKR7AFL
NA,MW,northern region,rural,MWKR7AFL
NA,MW,northern region,urban,MWKR7AFL
NA,MW,southern region,urban,MWKR7AFL
NA,MZ,niassa,urban,MZKR81FL
NA,MZ,niassa,rural,MZKR81FL
NA,MZ,cabo delgado,urban,MZKR81FL
NA,MZ,cabo delgado,rural,MZKR81FL
NA,MZ,nampula,urban,MZKR81FL
NA,MZ,nampula,rural,MZKR81FL
NA,MZ,zambézia,urban,MZKR81FL
NA,MZ,zambézia,rural,MZKR81FL
NA,MZ,tete,urban,MZKR81FL
NA,MZ,tete,rural,MZKR81FL
NA,MZ,manica,urban,MZKR81FL
NA,MZ,manica,rural,MZKR81FL
NA,MZ,sofala,urban,MZKR81FL
NA,MZ,sofala,rural,MZKR81FL
NA,MZ,inhambane,urban,MZKR81FL
NA,MZ,inhambane,rural,MZKR81FL
NA,MZ,gaza,urban,MZKR81FL
NA,MZ,gaza,rural,MZKR81FL
NA,MZ,maputo,urban,MZKR81FL
NA,MZ,maputo,rural,MZKR81FL
NA,MZ,cidade de maputo,urban,MZKR81FL
NA,NG,north central,urban,NGKR7BFL
NA,NG,north central,rural,NGKR7BFL
NA,NG,north east,urban,NGKR7BFL
NA,NG,north east,rural,NGKR7BFL
NA,NG,north west,urban,NGKR7BFL
NA,NG,north west,rural,NGKR7BFL
NA,NG,south east,urban,NGKR7BFL
NA,NG,south east,rural,NGKR7BFL
NA,NG,south south,urban,NGKR7BFL
NA,NG,south south,rural,NGKR7BFL
NA,NG,south west,urban,NGKR7BFL
NA,NG,south west,rural,NGKR7BFL
NA,NI,Zinder,Rural,NIKR61FL
NA,NI,Maradi,Rural,NIKR61FL
NA,NI,Diffa,Rural,NIKR61FL
NA,NI,Tahoua,Rural,NIKR61FL
NA,NI,Tahoua,Urban,NIKR61FL
NA,NI,Dosso,Rural,NIKR61FL
NA,NI,Tillaberi,Rural,NIKR61FL
NA,NI,Niamey,Urban,NIKR61FL
NA,NI,Agadez,Urban,NIKR61FL
NA,NI,Maradi,Urban,NIKR61FL
NA,NI,Zinder,Urban,NIKR61FL
NA,NI,Agadez,Rural,NIKR61FL
NA,NI,Dosso,Urban,NIKR61FL
NA,NI,Diffa,Urban,NIKR61FL
NA,NI,Tillaberi,Urban,NIKR61FL
NA,NM,caprivi,rural,NMKR61FL
NA,NM,khomas,urban,NMKR61FL
NA,NM,omusati,rural,NMKR61FL
NA,NM,oshana,rural,NMKR61FL
