Country,Iso code,Age group,age_in_days_midpoint,Admin-1 unit,units,N doses,clinical_cases_no_PMC,severe_cases_no_PMC,clinical_cases_with_PMC,severe_cases_with_PMC,clinical_cases_no_PMC_per1000,severe_cases_no_PMC_per1000,clinical_cases_with_PMC_per1000,severe_cases_with_PMC_per1000,clinical_cases_averted_with_PMC,severe_cases_averted_with_PMC,clinical_cases_averted_with_PMC_per1000,severe_cases_averted_with_PMC_per1000,clinical_cases_reduction,severe_cases_reduction,scenario,Scenario
Angola,AGO,6-12mo,273.5,Huila,raw cases,5,5266.53457788237,430.140233915791,4599.96668825366,379.190576249353,167.883574610861,13.7107696703215,146.707011899702,12.0923801008676,666.567889628705,50.9496576664387,21.1765627111587,1.61838956945391,12.6566697658848,11.8448946760031,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,12-18mo,456,Huila,raw cases,5,5652.32916599535,436.25034779197,5413.39898202448,420.347862847245,184.574061067529,14.2482757645527,176.752652164959,13.7275096253805,238.930183970867,15.9024849447251,7.82140890256983,0.520766139172251,4.22711022224751,3.64526584911935,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,18-24mo,638.5,Huila,raw cases,5,6631.92772486605,452.973858129804,6631.92772486605,452.973858129804,221.387643025076,15.1178485608554,221.387643025076,15.1178485608554,0,0,0,0,0,0,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,24-30mo,821,Huila,raw cases,5,7192.22032743116,413.975802456921,7192.22032743116,413.975802456921,236.111319132889,13.5886530186551,236.111319132889,13.5886530186551,0,0,0,0,0,0,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,0-6mo,91,Luanda,raw cases,5,9557.35032593266,1068.95054882112,7039.60106692267,830.859427145004,52.7941210649715,5.88031911762804,38.9258946935013,4.56884872760059,2517.74925900999,238.091121676118,13.8682263714702,1.31147039002744,26.3435907772303,22.2733523022832,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,6-12mo,273.5,Luanda,raw cases,5,12707.7413491927,1088.38873091205,10204.421268086,856.054625829404,71.8484326886366,6.14258252896757,57.739501229423,4.83760891111574,2503.32008110671,232.33410508265,14.1089314592136,1.30497361785183,19.6991740099097,21.346610680906,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,12-18mo,456,Luanda,raw cases,5,14831.9472674234,1132.05563284254,13793.9127425113,1063.12529384357,85.9230875464017,6.5577066864092,79.8972813231635,6.15738021629354,1038.03452491207,68.9303389989705,6.02580622323818,0.40032647011565903,6.99863953259859,6.08895331635686,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,18-24mo,638.5,Luanda,raw cases,5,16302.1812118919,1435.21734593207,16302.1812118919,1435.21734593207,96.5224494546303,8.49524539988744,96.5224494546303,8.49524539988744,0,0,0,0,0,0,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,24-30mo,821,Luanda,raw cases,5,20502.6477631141,1826.07625431933,20502.6477631141,1826.07625431933,119.340506320685,10.6174673809994,119.340506320685,10.6174673809994,0,0,0,0,0,0,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,0-6mo,91,Lunda_Norte,raw cases,5,2832.45856931413,192.271788047907,2597.70015640586,177.211262347691,328.183802463135,22.2582871740164,301.007785817459,20.5145002939683,234.758412908272,15.0605257002161,27.1760166456765,1.74378688004808,8.28814992923685,7.83293579007213,PMC co-delivery with EPI only,PMC co-delivery with EPI only
